year_month,state,district,pincode,risk_category,risk_reason,anomaly_score,total_activity,trend_status,policy_recommendation
2025-09,maharashtra,nashik,423203,CRITICAL,Unusual activity spike (>50% increase),-0.28379130674368047,9628.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,aligarh,202001,CRITICAL,Unusual activity spike (>50% increase),-0.2827249012674863,10719.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,maharashtra,thane,421302,CRITICAL,Unusual activity spike (>50% increase),-0.28181605624906214,10338.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,saharanpur,247001,CRITICAL,Unusual activity spike (>50% increase),-0.28112799629647367,10902.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,maharashtra,aurangabad,431001,CRITICAL,Unusual activity spike (>50% increase),-0.2807523218201734,12428.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,moradabad,244001,CRITICAL,Unusual activity spike (>50% increase),-0.2805964145294939,11877.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,firozabad,283203,CRITICAL,Unusual activity spike (>50% increase),-0.2805964145294939,10520.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,shahjahanpur,242001,CRITICAL,Unusual activity spike (>50% increase),-0.2779438939231017,9375.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,meerut,250002,CRITICAL,Unusual activity spike (>50% increase),-0.2774144657475861,8901.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,rajasthan,alwar,301001,CRITICAL,Unusual activity spike (>50% increase),-0.2768853956547783,7823.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,delhi,north west delhi,110086,CRITICAL,Unusual activity spike (>50% increase),-0.27651174909496146,10523.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,unnao,209801,CRITICAL,Unusual activity spike (>50% increase),-0.274772691269243,7886.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,haryana,faridabad,121004,CRITICAL,Unusual activity spike (>50% increase),-0.27440005455890526,8536.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,delhi,west delhi,110059,CRITICAL,Unusual activity spike (>50% increase),-0.27176846039798597,8886.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,kanpur nagar,208001,CRITICAL,Unusual activity spike (>50% increase),-0.2712432090231407,7308.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,budaun,243601,CRITICAL,Unusual activity spike (>50% increase),-0.2710891889426975,7982.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,rajasthan,jodhpur,342001,CRITICAL,Unusual activity spike (>50% increase),-0.27056439699818347,7329.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,pilibhit,262001,CRITICAL,Unusual activity spike (>50% increase),-0.27056439699818347,8502.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttarakhand,dehradun,248001,CRITICAL,Unusual activity spike (>50% increase),-0.270347614143958,7807.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,punjab,amritsar,143001,CRITICAL,Unusual activity spike (>50% increase),-0.2686222762111884,7443.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,haryana,panipat,132103,CRITICAL,Unusual activity spike (>50% increase),-0.2686222762111884,8539.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,hapur,245101,CRITICAL,Unusual activity spike (>50% increase),-0.2679457566810013,7090.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,maharashtra,beed,431122,CRITICAL,Unusual activity spike (>50% increase),-0.2675006028767617,7271.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,rampur,244901,CRITICAL,Unusual activity spike (>50% increase),-0.26742309082041704,9082.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,uttar pradesh,mirzapur,231001,CRITICAL,Unusual activity spike (>50% increase),-0.26742309082041704,7804.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,bihar,katihar,854317,CRITICAL,Unusual activity spike (>50% increase),-0.26705396713832696,8863.0,SURGING,Maintain current service levels; can serve as model regions
2025-09,rajasthan,nagaur,341001,CRITICAL,Unusual activity spike (>50% increase),-0.2660101948552259,6213.0,SURGING,Maintain current service levels; can serve as model regions
